datetime,open,high,low,close,volume,support,resis
2021-05-21 21:00:00,168.57,178.0,156.94,176.31,103109.0594447,40.59,290.56
2021-05-21 22:00:00,176.21,179.61,172.32,175.49,83430.49158295,40.59,290.56
2021-05-21 23:00:00,175.49,181.59,173.63,180.23,53547.26691073,40.59,290.56
2021-05-22 00:00:00,180.33,183.3,175.53,181.55,36710.96325029,40.59,290.56
2021-05-22 01:00:00,181.4,182.48,178.4,179.4,40644.74578752,40.59,290.56
2021-05-22 02:00:00,179.39,184.82,178.51,179.55,34132.45678184,40.59,290.56
2021-05-22 03:00:00,179.64,182.61,174.57,178.77,33065.72988669,40.59,290.56
2021-05-22 04:00:00,178.85,180.81,166.0,169.52,52110.07392562,40.59,290.56
2021-05-22 05:00:00,169.51,171.16,161.88,168.68,58203.68961734,40.59,290.56
2021-05-22 06:00:00,168.49,169.43,162.67,168.82,29863.10886573,40.59,290.56
2021-05-22 07:00:00,168.97,169.63,163.73,167.82,17499.23801514,40.59,290.56
2021-05-22 08:00:00,167.82,175.5,167.65,172.97,20380.67548567,40.59,290.56
2021-05-22 09:00:00,173.04,176.0,170.46,174.43,14814.30567563,40.59,290.56
2021-05-22 10:00:00,174.44,180.5,172.14,179.38,22834.16437623,40.59,290.56
2021-05-22 11:00:00,179.55,180.22,176.08,179.33,13926.88752162,40.59,290.56
2021-05-22 12:00:00,179.39,182.71,177.4,178.43,20014.120326,40.59,290.56
2021-05-22 13:00:00,178.38,184.59,177.92,182.12,23391.15010563,40.59,290.56
2021-05-22 14:00:00,182.19,183.94,176.02,178.82,26456.69009419,40.59,290.56
2021-05-22 15:00:00,178.85,183.24,174.41,180.85,26356.90571538,40.59,290.56
2021-05-22 16:00:00,180.95,182.77,177.47,178.35,19692.20469852,40.59,290.56
2021-05-22 17:00:00,178.27,180.27,171.71,173.11,31949.67585566,40.59,290.56
2021-05-22 18:00:00,173.25,173.84,170.9,173.51,29910.65057434,40.59,290.56
2021-05-22 19:00:00,173.53,175.07,168.74,169.57,20416.89350202,40.59,290.56
2021-05-22 20:00:00,169.47,175.77,169.44,174.6,16701.507979,40.59,290.56
2021-05-22 21:00:00,174.49,176.11,173.35,174.94,13499.4238645,40.59,290.56
2021-05-22 22:00:00,174.86,175.41,170.9,172.61,37332.10537765,40.59,290.56
2021-05-22 23:00:00,172.62,175.4,168.89,169.48,22220.9176988,40.59,290.56
2021-05-23 00:00:00,169.47,175.08,165.73,175.01,32486.65979994,40.59,290.56
2021-05-23 01:00:00,174.94,176.51,173.94,174.02,16151.83614021,40.59,290.56
2021-05-23 02:00:00,174.03,174.65,168.63,169.6,16865.59516884,40.59,290.56
2021-05-23 03:00:00,169.56,172.25,168.43,171.43,15592.36464861,40.59,290.56
2021-05-23 04:00:00,171.27,172.88,169.25,170.08,12004.12563076,40.59,290.56
2021-05-23 05:00:00,170.19,170.47,166.6,169.37,12133.26292517,40.59,290.56
2021-05-23 06:00:00,169.24,171.11,163.29,164.64,20051.3842192,40.59,290.56
2021-05-23 07:00:00,164.47,166.53,156.52,159.2,34876.60738117,40.59,290.56
2021-05-23 08:00:00,159.22,159.32,145.26,149.23,79437.6611525,40.59,290.56
2021-05-23 09:00:00,149.13,152.18,141.61,142.79,60577.47381213,40.59,290.56
2021-05-23 10:00:00,142.76,153.5,142.45,148.29,43875.35607882,40.59,290.56
2021-05-23 11:00:00,148.45,151.95,146.85,147.93,28449.79603056,40.59,290.56
2021-05-23 12:00:00,147.92,150.05,131.23,137.12,100315.83454244,40.59,290.56
2021-05-23 13:00:00,137.22,139.07,130.09,138.39,119106.1308325,40.59,290.56
2021-05-23 14:00:00,138.35,144.71,134.53,140.93,64341.77558045,40.59,290.56
2021-05-23 15:00:00,141.04,141.98,134.71,135.83,61905.70716923,40.59,290.56
2021-05-23 16:00:00,135.95,137.58,117.58,128.31,197746.3213916,40.59,290.56
2021-05-23 17:00:00,128.28,137.1,127.63,131.52,90658.88411509,40.59,290.56
2021-05-23 18:00:00,131.7,134.06,125.64,129.18,65358.08897608,40.59,290.56
2021-05-23 19:00:00,129.11,134.41,127.17,131.96,44173.98239934,40.59,290.56
2021-05-23 20:00:00,131.89,140.08,131.87,138.04,45221.54271471,40.59,290.56
