datetime,open,high,low,close,volume,support,resis
2021-05-21 21:00:00,2251.54,2402.75,2105.0,2393.81,103750.6631982,902.73,4849.04
2021-05-21 22:00:00,2393.76,2437.38,2334.84,2388.0,54418.63823161,902.73,4849.04
2021-05-21 23:00:00,2386.95,2439.13,2353.05,2434.86,34512.35702035,902.73,4849.04
2021-05-22 00:00:00,2434.86,2469.74,2386.54,2450.12,25930.64638089,902.73,4849.04
2021-05-22 01:00:00,2450.96,2486.29,2412.83,2448.8,23994.90453257,902.73,4849.04
2021-05-22 02:00:00,2448.8,2486.08,2380.43,2393.86,27351.72332386,902.73,4849.04
2021-05-22 03:00:00,2393.87,2417.56,2299.96,2332.35,31106.37204547,902.73,4849.04
2021-05-22 04:00:00,2331.97,2352.29,2214.0,2268.57,51712.85546567,902.73,4849.04
2021-05-22 05:00:00,2269.01,2283.83,2156.0,2236.78,61391.35937935,902.73,4849.04
2021-05-22 06:00:00,2236.76,2257.85,2172.99,2250.52,40839.87639082,902.73,4849.04
2021-05-22 07:00:00,2251.77,2260.43,2188.83,2251.1,25062.07574914,902.73,4849.04
2021-05-22 08:00:00,2251.05,2374.99,2249.85,2350.1,28748.08251984,902.73,4849.04
2021-05-22 09:00:00,2350.75,2388.04,2281.71,2364.47,29582.54710519,902.73,4849.04
2021-05-22 10:00:00,2364.09,2478.0,2316.17,2464.89,34098.00652573,902.73,4849.04
2021-05-22 11:00:00,2464.77,2476.41,2398.43,2417.92,21892.22325818,902.73,4849.04
2021-05-22 12:00:00,2417.99,2456.23,2378.51,2394.75,27643.95797323,902.73,4849.04
2021-05-22 13:00:00,2394.75,2485.51,2383.83,2440.92,22908.0380798,902.73,4849.04
2021-05-22 14:00:00,2440.93,2456.32,2330.0,2364.23,29211.43122726,902.73,4849.04
2021-05-22 15:00:00,2364.23,2399.0,2293.51,2368.84,31156.57434577,902.73,4849.04
2021-05-22 16:00:00,2368.84,2397.6,2326.09,2355.28,23353.38822042,902.73,4849.04
2021-05-22 17:00:00,2355.34,2374.0,2270.0,2290.19,21797.75316371,902.73,4849.04
2021-05-22 18:00:00,2290.19,2304.99,2268.47,2296.49,18465.43583961,902.73,4849.04
